variant,method,mean,std,n_folds,time_sec
k=3,Hold-out (80/20),0.9736842105263158,0.0,1,0.010028839111328125
k=3,StratifiedKFold (k=3),0.9754200315603825,0.009898050923877407,3,0.017045021057128906
k=3,LOOCV,0.9789103690685413,0.143683187599084,569,3.56215238571167
k=5,Hold-out (80/20),0.9736842105263158,0.0,1,0.010028839111328125
k=5,StratifiedKFold (k=5),0.9736686849868033,0.016627222216787987,5,0.0483241081237793
k=5,LOOCV,0.9789103690685413,0.143683187599084,569,3.56215238571167
k=7,Hold-out (80/20),0.9736842105263158,0.0,1,0.010028839111328125
k=7,StratifiedKFold (k=7),0.9771583430120014,0.016691517408543907,7,0.048610687255859375
k=7,LOOCV,0.9789103690685413,0.143683187599084,569,3.56215238571167
k=10,Hold-out (80/20),0.9736842105263158,0.0,1,0.010028839111328125
k=10,StratifiedKFold (k=10),0.9754385964912279,0.01953601530817553,10,0.06481623649597168
k=10,LOOCV,0.9789103690685413,0.143683187599084,569,3.56215238571167
